Energy Usage Report (kWh) - Service Account 8001234567

Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1/11/2025,29.0604,29.8977,30.5917,28.9351,31.4103,30.8752,29.3429,27.7974,28.0575,29.1115,31.2057,29.2441,31.9758,31.3069,30.6617,28.6021,29.2783,30.9515,27.9404,31.4203,32.2220,29.8192,32.6038,32.7121,29.9000,31.2965,32.6848,31.1907,32.0096,33.2811,32.4667,31.7126,32.4218,33.0698,34.7849,35.4950,35.6656,33.4772,35.2271,35.4052,35.8507,36.2803,39.2230,38.1521,38.8449,38.3274,37.5125,39.3505,37.3903,40.1898,39.7508,38.1906,38.2836,37.8702,38.6392,40.7111,41.0803,40.8294,36.6857,38.0834,36.7945,39.3030,35.0119,34.9339,34.0817,36.0015,36.4236,33.7597,32.0497,31.4764,34.5638,34.8496,31.0309,32.4996,30.2923,30.2386,31.3305,29.8143,29.3733,32.4306,31.7773,32.2958,31.0256,30.7294,28.8885,29.5735,30.6309,30.9718,32.0556,30.3868,29.8194,30.2408,31.8958,32.1131,31.3299,28.0831
1/12/2025,28.6241,31.3174,31.4667,30.5047,30.9543,31.6096,30.8702,28.6774,30.8476,28.2084,30.8931,29.5303,31.2952,29.4213,29.2224,28.2923,31.9698,29.4696,28.0860,31.1165,32.4089,31.1413,30.7035,30.1503,32.1163,30.7102,31.8589,29.2282,31.7843,29.4148,32.9010,33.0482,31.3833,31.4159,33.2947,35.8360,31.9866,32.7151,33.4988,35.1884,34.1948,38.3183,35.1917,36.6180,39.1168,37.6354,39.7958,40.6860,40.3339,41.8856,41.6854,42.1985,37.8817,42.0514,40.3272,41.7750,39.1077,39.9404,38.7514,36.7322,36.9395,37.5657,37.8463,37.7786,36.7086,33.8432,34.3171,33.1070,32.2126,33.8901,32.2681,34.4944,31.2055,30.2386,32.5999,31.2636,30.9791,29.6974,29.3247,29.6121,29.2406,31.7335,29.8908,29.4815,28.4808,28.8359,29.0662,30.5297,31.5636,31.8139,28.8885,30.9953,28.7358,31.7896,31.6665,28.5881
1/13/2025,30.1162,29.1456,31.3555,30.4482,29.4201,30.0134,31.5241,31.3810,27.9669,31.1251,30.4591,28.7904,29.3618,28.2521,29.9022,27.9858,29.5668,27.9926,29.3570,28.1513,28.8396,30.2736,31.0893,40.5426,49.6139,63.1669,75.1622,83.6131,97.0930,93.7850,93.0411,93.8626,94.7701,93.5374,95.9739,97.2367,93.3631,95.1344,93.5827,94.8057,95.3229,93.3253,95.4376,94.4768,94.0634,95.5933,97.1929,94.0964,95.8788,94.2326,96.0691,96.8438,94.5005,95.2292,94.4173,94.0926,96.7743,94.0783,95.3562,96.7851,93.8553,96.6414,94.3787,97.2344,94.5763,94.5226,95.7736,94.1582,95.5038,95.8080,92.7986,84.2115,74.8267,62.9399,50.5177,40.1608,32.0124,29.9729,29.6044,30.0672,31.3989,28.1228,31.4983,30.8142,28.1300,32.1644,28.9888,28.7895,31.8144,30.1489,28.0250,29.4651,31.6939,27.7822,30.1398,28.5814
1/14/2025,31.2060,29.5075,27.9268,30.6800,31.4151,51.4279,28.0810,31.5121,28.2395,31.1342,29.6498,29.9282,30.7622,31.7014,29.2564,30.2040,28.4102,31.3766,28.4674,29.2055,31.4331,29.2285,28.6858,42.7682,53.8886,61.2952,71.9639,82.1285,97.0949,94.3069,96.2678,95.1429,95.6812,96.7824,94.3125,93.0716,93.3247,95.9100,93.4961,93.8688,93.1021,93.1520,92.9847,94.1064,97.2487,95.5126,96.2572,92.9621,95.4997,97.0066,94.2726,95.7720,95.9736,96.2873,93.2022,95.5256,94.5172,96.1779,92.8877,93.0589,93.7240,95.0366,95.1977,94.7584,97.1490,96.1774,94.4086,95.6163,96.6939,96.0221,94.7970,85.4573,72.5874,63.2912,51.1354,41.8345,32.0168,31.0882,30.2101,29.4317,27.9537,29.2314,29.7126,31.1598,31.7472,28.8604,29.3550,28.8346,32.2088,30.5496,28.6703,30.3984,27.7549,30.5473,30.4657,29.0109
1/15/2025,28.2789,29.2987,31.6707,31.1116,28.8781,30.3948,31.4072,31.6525,28.0692,31.2230,31.4311,29.6955,30.5832,29.8154,31.4299,31.9360,28.3431,30.0683,29.4153,31.6758,30.4877,29.1130,28.0673,40.8659,52.1486,61.8169,74.7372,85.4975,95.7739,93.8892,96.0864,96.1635,95.2982,95.5908,94.5031,96.4042,95.5148,96.0200,94.4890,93.6012,94.6486,93.4152,95.1128,95.8938,96.2240,96.5832,97.0156,96.6338,93.8786,94.1805,94.8495,96.5827,92.9995,94.5006,96.3797,95.5772,95.8240,96.8592,97.0972,95.7195,94.9694,94.9714,96.1819,94.1197,92.8667,95.5659,94.8465,93.5994,92.9460,96.2867,93.4028,86.0052,73.4408,64.0997,51.5652,39.5015,32.0972,32.2453,27.9830,30.5570,31.5778,29.8287,28.3222,32.1614,28.0749,28.9881,32.0719,29.4760,29.4219,30.5073,30.3773,28.7521,30.6546,31.9771,28.9519,31.8879
1/16/2025,28.8513,31.2766,30.1993,29.5718,29.1850,32.0351,31.1952,30.1455,30.4989,28.9639,30.3401,31.5419,29.7883,32.1839,29.6200,29.5796,30.1332,29.5438,29.0373,28.2496,28.6410,28.0080,28.8579,43.0226,53.6842,61.6964,71.4549,83.7189,92.9329,94.9372,95.7170,95.6439,95.5952,97.0351,94.8642,92.9884,96.6462,97.1148,96.3859,93.0706,97.2392,95.6980,95.1815,95.3261,94.8033,93.9418,92.8543,94.3825,94.2849,94.1022,93.8683,94.9867,93.6829,93.4032,93.3212,93.2311,96.3994,94.6169,96.1274,95.1810,93.2979,95.5173,95.9506,95.4333,93.0101,96.5694,96.3395,93.0895,93.7828,95.8189,94.3374,85.3179,72.2474,63.8461,51.0982,41.3040,29.4234,32.0185,29.9141,30.9811,27.8642,31.4063,27.8286,28.0604,31.9472,29.7552,29.0189,28.5444,29.5107,31.6666,29.2550,32.0121,27.8678,29.0761,30.8484,30.5094
1/17/2025,31.4691,30.5973,27.8637,29.6797,28.1992,28.9248,30.3839,30.1851,29.4947,32.2067,31.1013,29.5914,30.1891,31.7325,29.9032,30.7434,31.0455,31.1475,29.8017,28.7380,28.5611,31.8943,30.3964,41.6719,50.7805,62.3597,73.2240,82.3273,95.1445,95.7361,94.3647,93.4269,95.0121,94.3053,93.3378,95.2090,95.1898,93.5349,93.6087,94.2858,97.0241,94.9092,95.5843,94.9612,94.3083,93.5691,95.9194,95.0147,95.0092,95.0074,92.9393,94.2842,93.0034,95.8007,95.9761,94.4234,96.8079,97.0132,94.4584,96.7326,93.7552,95.4450,96.1337,95.9653,94.2648,92.8116,93.9129,93.5805,92.7915,96.7211,93.8600,84.5532,75.1135,61.6362,50.7659,42.1628,30.0884,32.0294,31.3343,29.2659,30.0163,30.5984,31.8441,28.1672,31.6006,32.0251,28.8118,30.8300,28.0883,28.6792,29.1880,30.7781,29.4746,29.3200,29.0856,30.1605
1/18/2025,31.4400,27.9313,29.9251,30.0545,31.8188,31.4449,30.2529,27.9148,31.7158,29.9069,30.8743,28.5531,29.0635,31.9032,28.2903,29.4731,31.2216,31.9982,30.4751,29.6011,31.1366,28.3640,29.5406,28.8205,31.5517,32.6179,31.5292,29.8186,29.2946,33.4722,30.2559,34.0122,31.6217,33.0055,32.9950,33.6507,32.4797,33.6308,33.2179,33.4785,34.5417,38.5085,38.7383,38.4890,40.0767,38.8022,39.1459,38.1827,39.6852,41.6547,37.8666,40.9336,40.2890,37.7729,40.4564,39.5908,38.2938,40.0206,37.2340,39.5093,39.0289,36.0197,35.6776,35.4881,36.2823,37.6162,36.8329,34.4821,36.0859,33.4648,35.1145,32.3671,32.5868,33.4500,30.0739,31.0675,29.5105,31.7754,31.4167,30.7931,31.2449,32.3536,28.6768,28.8733,29.3468,29.4922,29.3674,29.2048,28.5959,31.3160,29.1448,28.3985,28.6945,27.8412,29.9507,29.2401
1/19/2025,28.9877,30.7953,31.4333,27.9024,28.1835,31.6414,28.6966,31.6668,32.1372,29.5194,27.8813,30.8656,27.8709,31.2713,30.3449,28.3169,30.4061,31.1333,32.1923,28.7300,30.1610,31.7644,31.3382,31.6719,30.8751,32.4505,29.3580,32.4895,29.7549,32.2223,33.8320,34.2911,33.0114,31.0047,31.2559,33.4489,33.1359,33.1865,34.6990,35.5831,37.1837,35.7599,35.4284,38.4219,37.3756,37.4147,40.3639,38.7338,38.9298,39.1941,40.1819,41.1867,39.4332,40.4802,41.6912,41.0981,39.3911,39.1356,36.9730,36.8657,40.0687,37.7015,38.1896,35.1774,35.8659,35.5062,35.9938,35.6140,33.7791,31.8283,34.9929,33.8948,33.3775,32.9517,32.0486,32.6938,31.7088,31.0307,30.1386,31.2800,31.2591,29.4542,29.8087,32.5398,28.8828,29.0142,30.9547,31.8711,28.2347,30.2485,29.9059,30.4139,28.5417,28.6961,27.8182,28.5929
1/20/2025,28.6726,28.7806,31.3191,29.9736,30.3503,28.3352,32.2389,28.1254,32.1517,31.6439,29.0608,28.5573,28.2031,30.5696,32.1780,29.1475,29.3570,28.6346,29.6937,30.5361,32.1634,29.8817,31.1588,41.8971,52.5631,62.2853,73.5065,83.6821,95.7511,93.0014,95.5759,94.3555,95.3024,93.3009,96.5450,95.4630,93.4576,95.7415,93.5942,95.0082,95.4493,93.4309,94.1189,94.4876,93.7282,95.2276,96.3266,93.1855,96.2739,95.6225,96.8229,96.4800,95.4988,95.1429,94.6800,93.2293,96.5362,94.1411,93.1310,93.8556,94.8727,94.4301,94.9946,94.4624,92.9632,96.0190,97.1376,94.2654,93.4265,92.9000,96.9574,82.0562,72.9521,64.1990,50.6566,39.8605,31.3086,29.1561,32.1301,29.0007,30.4511,28.8363,30.7322,31.2193,29.7674,31.8201,28.0336,30.7299,29.5023,28.4605,31.4654,31.4102,29.6476,30.8212,28.0159,31.9112
1/21/2025,27.8667,28.3739,30.9597,28.1652,29.4781,31.7396,30.8450,31.1653,30.6260,30.0947,29.2208,30.4414,30.5736,29.5654,28.1388,28.8734,31.4677,28.7401,31.8470,31.4472,32.0360,32.1785,30.3862,39.5548,51.8836,62.0723,73.3733,83.0765,93.9345,93.2437,93.8862,96.7103,95.2631,94.0903,94.5295,97.0449,95.0447,92.8592,93.7380,94.1617,95.8938,93.3729,93.5170,93.2569,95.3709,94.6820,96.2259,95.5809,96.0896,95.9021,96.6230,93.6478,95.6394,95.7572,92.8882,95.8283,95.3619,97.1336,93.9454,94.0448,96.9396,97.2266,94.1476,94.9198,95.9545,93.3829,93.6913,93.7415,93.7652,95.9029,96.5542,83.7211,73.5257,62.8801,52.5162,41.9086,28.6997,31.8785,30.1608,31.4162,31.1109,29.9650,31.1827,29.3076,28.1050,31.4164,28.0146,32.1544,31.9008,31.8415,27.8020,31.3688,31.7981,30.1466,30.5488,28.2028
1/22/2025,29.7583,28.4792,27.9700,30.0076,28.8024,29.9843,31.7475,30.9104,32.1625,32.0208,31.1222,29.8491,27.9185,31.1505,30.0150,30.5310,28.9638,27.9320,32.0279,29.0181,28.6119,29.5332,30.8355,41.0483,53.2641,64.7224,72.1222,86.2901,94.5822,96.9451,93.2652,95.4926,96.3326,93.8673,93.4198,96.3643,96.5957,95.4636,95.0009,96.7888,94.0315,97.0872,93.5235,94.0995,97.2073,96.6389,96.3088,92.9287,95.8741,94.0355,96.4691,94.2687,95.8419,95.3954,96.3460,93.9244,92.8131,96.2988,94.7099,96.4431,95.5326,93.8816,97.1365,93.0939,93.8457,93.7451,93.4741,93.7379,97.1142,96.7224,94.5880,85.6530,73.0245,64.1733,50.8658,40.9643,30.9197,30.5041,28.9918,29.4932,28.3059,28.8311,31.5193,31.3523,30.4919,29.3473,28.9437,31.4163,31.5530,29.7363,31.9582,30.6317,28.2381,28.4132,29.0313,32.1337
1/23/2025,32.1852,28.8134,29.8963,31.6750,30.0735,29.0751,29.8426,30.8879,30.7062,28.9272,27.9521,32.0509,30.0503,32.1523,31.2112,31.8877,28.8784,29.0651,29.6962,30.2551,29.9509,31.1135,30.4375,41.8579,53.4786,64.5839,72.7932,82.1344,95.3225,94.2658,95.5281,96.3448,93.5522,93.6904,95.8348,94.0240,93.8362,95.0371,94.5996,93.8789,94.9847,95.8726,96.1200,93.8166,94.0517,96.0206,93.0285,95.4942,93.1276,96.6286,96.6527,95.7532,96.2433,94.3851,93.5664,94.8395,94.7708,92.9554,96.3047,96.7357,93.7785,97.0745,96.5948,94.6489,94.2053,96.6074,95.8020,96.2762,92.7730,93.0971,92.7749,85.3303,73.5382,61.8522,53.7388,41.1222,31.7258,29.1710,31.2607,31.2758,29.9813,29.9841,28.0455,31.6095,30.5955,28.1005,28.7248,32.1099,28.3988,32.1048,31.0043,31.0010,28.9046,32.0007,31.6837,30.9954
1/24/2025,31.0882,31.9638,31.6321,29.4909,29.6341,29.4266,31.5036,31.9322,29.3374,28.6573,28.3400,29.0263,29.7180,30.4635,32.0349,31.6165,28.6644,29.1619,29.5188,29.0778,28.6981,31.7703,30.9448,39.5348,49.4454,61.5191,73.2556,85.7919,95.0269,93.4224,96.2625,93.4124,93.4560,95.0738,95.1037,95.2883,96.5588,94.8919,95.4741,94.0615,94.8116,96.5205,95.0076,94.8618,96.4242,92.8415,95.3235,95.2878,94.4360,92.9413,92.8438,95.4316,95.1110,95.9815,97.1345,95.1354,92.9320,94.7484,96.3909,96.6939,95.7557,92.8139,94.5910,92.8248,97.1369,94.7126,93.4186,96.9866,93.7105,94.6572,94.6240,82.0318,71.8761,62.9168,49.9878,39.1269,32.0579,28.9191,29.3109,32.1895,29.0656,30.2417,29.9366,27.9417,30.5454,30.1646,29.1993,30.0171,29.4677,29.4086,30.2564,27.8516,29.3571,31.4514,31.4100,28.1696
1/25/2025,31.9088,28.2983,31.5291,31.2522,27.9871,31.6501,30.8954,28.7029,29.3222,30.8708,31.6894,30.8712,30.9818,31.5747,29.3151,31.3303,30.5222,28.7180,28.9752,30.3264,28.2497,31.1548,29.0733,28.7608,29.9017,32.4815,29.4005,29.8464,29.2056,31.4730,33.5602,32.0178,34.6651,32.1525,35.2649,31.7206,32.2790,36.4104,33.0498,36.3888,34.8999,35.2169,37.6310,39.0356,36.5220,36.9747,37.4731,38.7118,40.0327,40.5657,39.4921,40.0545,37.9901,40.1866,39.9737,41.1280,38.8528,39.5061,37.6176,39.6624,37.3555,35.4330,36.9993,35.8820,36.3310,37.2290,35.2373,36.8157,35.1096,32.1661,35.3603,34.3384,33.6179,31.6575,31.4853,31.3969,33.3413,30.3671,29.4508,33.0077,32.1559,32.1463,29.9375,32.5819,32.5072,28.0963,28.1430,30.4889,29.3457,31.2512,29.2575,28.3734,31.7880,31.0150,31.7624,30.2879
1/26/2025,31.2049,31.0509,32.0868,30.5542,30.8839,31.7060,27.8553,31.8415,30.7303,27.9708,31.6429,29.4281,31.3086,29.8912,31.7443,32.3306,32.0991,30.9919,29.2208,27.9844,30.8042,31.2598,31.8179,32.7812,28.5018,32.8182,29.7145,29.8969,31.8809,32.4831,30.5689,30.6469,31.3480,32.0606,35.2560,35.2057,34.6518,34.9456,35.8249,37.4603,38.2764,38.1810,35.1763,36.6884,36.2221,39.7041,37.5421,38.9440,40.4220,39.3493,38.8343,40.1668,38.3991,38.7988,40.9784,40.4106,39.4890,37.7634,36.9269,40.5984,38.4067,38.7410,35.1520,35.0706,34.7284,37.1699,33.3861,32.7176,33.1693,33.1427,32.6739,32.3016,33.5212,32.3509,30.8966,29.9094,29.5809,33.0926,31.5260,32.5825,28.4280,31.7374,32.2324,31.6980,28.2346,30.9128,29.4078,31.5151,31.1139,30.2637,28.5984,27.9263,30.0229,29.8904,29.8251,31.8248
1/27/2025,30.2746,31.6673,28.7148,31.9192,28.3050,29.0326,28.0138,28.3416,30.2307,30.8193,27.9584,32.1164,29.4162,29.5181,28.2699,31.8313,30.9501,28.5463,31.7517,31.5410,29.0703,30.3374,29.9368,39.4325,51.1976,63.3707,72.3720,85.5477,92.9859,95.2482,92.9851,94.5600,95.4048,94.4289,95.3310,97.1501,94.8979,95.3909,95.1734,96.1621,97.0995,97.1401,96.8541,96.9156,94.2916,96.1950,93.2125,97.0716,95.9407,94.4747,95.8395,96.2280,96.7136,94.8543,93.9677,95.4309,97.2150,93.9929,94.3252,94.9688,95.6007,95.5606,95.3357,96.5424,95.4648,96.7356,97.1969,93.9883,94.5667,96.2280,93.5973,83.2507,73.0818,63.9843,52.0389,41.4897,31.7450,27.7969,28.3879,29.9230,31.2863,29.7932,29.9968,28.3485,31.7031,31.5846,29.5161,30.7822,31.0965,29.5819,28.5880,28.0463,31.3149,30.8137,29.7922,31.1134
