Green Button Download My Data
Retail Customer,SAMPLE CUSTOMER

TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,1/7/2025,16:00,16:59,373.93,kWh,$0.00,
Electric usage,1/7/2025,17:00,17:59,367.44,kWh,$0.00,
Electric usage,1/7/2025,18:00,18:59,226.08,kWh,$0.00,
Electric usage,1/7/2025,19:00,19:59,117.07,kWh,$0.00,
Electric usage,1/7/2025,20:00,20:59,117.98,kWh,$0.00,
Electric usage,1/7/2025,21:00,21:59,121.48,kWh,$0.00,
Electric usage,1/7/2025,22:00,22:59,121.08,kWh,$0.00,
Electric usage,1/7/2025,23:00,23:59,122.73,kWh,$0.00,
Electric usage,1/8/2025,0:00,0:59,121.70,kWh,$0.00,
Electric usage,1/8/2025,1:00,1:59,119.89,kWh,$0.00,
Electric usage,1/8/2025,2:00,2:59,120.61,kWh,$0.00,
Electric usage,1/8/2025,3:00,3:59,120.79,kWh,$0.00,
Electric usage,1/8/2025,4:00,4:59,121.60,kWh,$0.00,
Electric usage,1/8/2025,5:00,5:59,128.79,kWh,$0.00,
Electric usage,1/8/2025,6:00,6:59,271.92,kWh,$0.00,
Electric usage,1/8/2025,7:00,7:59,378.49,kWh,$0.00,
Electric usage,1/8/2025,8:00,8:59,378.70,kWh,$0.00,
Electric usage,1/8/2025,9:00,9:59,382.76,kWh,$0.00,
Electric usage,1/8/2025,10:00,10:59,380.46,kWh,$0.00,
Electric usage,1/8/2025,11:00,11:59,378.91,kWh,$0.00,
Electric usage,1/8/2025,12:00,12:59,380.53,kWh,$0.00,
Electric usage,1/8/2025,13:00,13:59,381.78,kWh,$0.00,
Electric usage,1/8/2025,14:00,14:59,378.29,kWh,$0.00,
Electric usage,1/8/2025,15:00,15:59,377.67,kWh,$0.00,
Electric usage,1/8/2025,16:00,16:59,379.25,kWh,$0.00,
Electric usage,1/8/2025,17:00,17:59,370.23,kWh,$0.00,
Electric usage,1/8/2025,18:00,18:59,223.75,kWh,$0.00,
Electric usage,1/8/2025,19:00,19:59,120.04,kWh,$0.00,
Electric usage,1/8/2025,20:00,20:59,118.38,kWh,$0.00,
Electric usage,1/8/2025,21:00,21:59,121.85,kWh,$0.00,
Electric usage,1/8/2025,22:00,22:59,119.00,kWh,$0.00,
Electric usage,1/8/2025,23:00,23:59,121.59,kWh,$0.00,
Electric usage,1/9/2025,0:00,0:59,114.42,kWh,$0.00,
Electric usage,1/9/2025,1:00,1:59,118.21,kWh,$0.00,
Electric usage,1/9/2025,2:00,2:59,118.71,kWh,$0.00,
Electric usage,1/9/2025,3:00,3:59,118.45,kWh,$0.00,
Electric usage,1/9/2025,4:00,4:59,120.86,kWh,$0.00,
Electric usage,1/9/2025,5:00,5:59,131.41,kWh,$0.00,
Electric usage,1/9/2025,6:00,6:59,272.33,kWh,$0.00,
Electric usage,1/9/2025,7:00,7:59,382.77,kWh,$0.00,
Electric usage,1/9/2025,8:00,8:59,381.03,kWh,$0.00,
Electric usage,1/9/2025,9:00,9:59,376.37,kWh,$0.00,
Electric usage,1/9/2025,10:00,10:59,379.22,kWh,$0.00,
Electric usage,1/9/2025,11:00,11:59,377.82,kWh,$0.00,
Electric usage,1/9/2025,12:00,12:59,379.51,kWh,$0.00,
Electric usage,1/9/2025,13:00,13:59,383.86,kWh,$0.00,
Electric usage,1/9/2025,14:00,14:59,380.88,kWh,$0.00,
Electric usage,1/9/2025,15:00,15:59,380.96,kWh,$0.00,
Electric usage,1/9/2025,16:00,16:59,382.34,kWh,$0.00,
Electric usage,1/9/2025,17:00,17:59,369.33,kWh,$0.00,
Electric usage,1/9/2025,18:00,18:59,231.38,kWh,$0.00,
Electric usage,1/9/2025,19:00,19:59,119.38,kWh,$0.00,
Electric usage,1/9/2025,20:00,20:59,119.27,kWh,$0.00,
Electric usage,1/9/2025,21:00,21:59,125.94,kWh,$0.00,
Electric usage,1/9/2025,22:00,22:59,116.25,kWh,$0.00,
Electric usage,1/9/2025,23:00,23:59,125.41,kWh,$0.00,
Electric usage,1/10/2025,0:00,0:59,117.08,kWh,$0.00,
Electric usage,1/10/2025,1:00,1:59,121.56,kWh,$0.00,
Electric usage,1/10/2025,2:00,2:59,115.28,kWh,$0.00,
Electric usage,1/10/2025,3:00,3:59,120.22,kWh,$0.00,
Electric usage,1/10/2025,4:00,4:59,118.15,kWh,$0.00,
Electric usage,1/10/2025,5:00,5:59,128.44,kWh,$0.00,
Electric usage,1/10/2025,6:00,6:59,268.14,kWh,$0.00,
Electric usage,1/10/2025,7:00,7:59,382.23,kWh,$0.00,
Electric usage,1/10/2025,8:00,8:59,374.83,kWh,$0.00,
Electric usage,1/10/2025,9:00,9:59,377.78,kWh,$0.00,
Electric usage,1/10/2025,10:00,10:59,381.31,kWh,$0.00,
Electric usage,1/10/2025,11:00,11:59,378.12,kWh,$0.00,
Electric usage,1/10/2025,12:00,12:59,386.66,kWh,$0.00,
Electric usage,1/10/2025,13:00,13:59,377.87,kWh,$0.00,
Electric usage,1/10/2025,14:00,14:59,380.52,kWh,$0.00,
Electric usage,1/10/2025,15:00,15:59,376.56,kWh,$0.00,
Electric usage,1/10/2025,16:00,16:59,375.83,kWh,$0.00,
Electric usage,1/10/2025,17:00,17:59,371.82,kWh,$0.00,
Electric usage,1/10/2025,18:00,18:59,226.58,kWh,$0.00,
Electric usage,1/10/2025,19:00,19:59,114.75,kWh,$0.00,
Electric usage,1/10/2025,20:00,20:59,121.67,kWh,$0.00,
Electric usage,1/10/2025,21:00,21:59,121.28,kWh,$0.00,
Electric usage,1/10/2025,22:00,22:59,117.98,kWh,$0.00,
Electric usage,1/10/2025,23:00,23:59,120.06,kWh,$0.00,
Electric usage,1/11/2025,0:00,0:59,118.48,kWh,$0.00,
Electric usage,1/11/2025,1:00,1:59,119.43,kWh,$0.00,
Electric usage,1/11/2025,2:00,2:59,117.62,kWh,$0.00,
Electric usage,1/11/2025,3:00,3:59,122.55,kWh,$0.00,
Electric usage,1/11/2025,4:00,4:59,119.59,kWh,$0.00,
Electric usage,1/11/2025,5:00,5:59,127.36,kWh,$0.00,
Electric usage,1/11/2025,6:00,6:59,125.07,kWh,$0.00,
Electric usage,1/11/2025,7:00,7:59,129.47,kWh,$0.00,
Electric usage,1/11/2025,8:00,8:59,135.77,kWh,$0.00,
Electric usage,1/11/2025,9:00,9:59,139.78,kWh,$0.00,
Electric usage,1/11/2025,10:00,10:59,149.51,kWh,$0.00,
Electric usage,1/11/2025,11:00,11:59,154.04,kWh,$0.00,
Electric usage,1/11/2025,12:00,12:59,155.52,kWh,$0.00,
Electric usage,1/11/2025,13:00,13:59,155.50,kWh,$0.00,
Electric usage,1/11/2025,14:00,14:59,156.68,kWh,$0.00,
Electric usage,1/11/2025,15:00,15:59,146.04,kWh,$0.00,
Electric usage,1/11/2025,16:00,16:59,140.27,kWh,$0.00,
Electric usage,1/11/2025,17:00,17:59,132.94,kWh,$0.00,
Electric usage,1/11/2025,18:00,18:59,124.06,kWh,$0.00,
Electric usage,1/11/2025,19:00,19:59,122.95,kWh,$0.00,
Electric usage,1/11/2025,20:00,20:59,125.83,kWh,$0.00,
Electric usage,1/11/2025,21:00,21:59,120.06,kWh,$0.00,
Electric usage,1/11/2025,22:00,22:59,122.50,kWh,$0.00,
Electric usage,1/11/2025,23:00,23:59,123.42,kWh,$0.00,
Electric usage,1/12/2025,0:00,0:59,121.91,kWh,$0.00,
Electric usage,1/12/2025,1:00,1:59,122.11,kWh,$0.00,
Electric usage,1/12/2025,2:00,2:59,119.48,kWh,$0.00,
Electric usage,1/12/2025,3:00,3:59,118.23,kWh,$0.00,
Electric usage,1/12/2025,4:00,4:59,120.64,kWh,$0.00,
Electric usage,1/12/2025,5:00,5:59,124.40,kWh,$0.00,
Electric usage,1/12/2025,6:00,6:59,123.91,kWh,$0.00,
Electric usage,1/12/2025,7:00,7:59,127.15,kWh,$0.00,
Electric usage,1/12/2025,8:00,8:59,131.93,kWh,$0.00,
Electric usage,1/12/2025,9:00,9:59,133.39,kWh,$0.00,
Electric usage,1/12/2025,10:00,10:59,144.32,kWh,$0.00,
Electric usage,1/12/2025,11:00,11:59,157.23,kWh,$0.00,
Electric usage,1/12/2025,12:00,12:59,166.10,kWh,$0.00,
Electric usage,1/12/2025,13:00,13:59,162.04,kWh,$0.00,
Electric usage,1/12/2025,14:00,14:59,154.53,kWh,$0.00,
Electric usage,1/12/2025,15:00,15:59,150.13,kWh,$0.00,
Electric usage,1/12/2025,16:00,16:59,137.98,kWh,$0.00,
Electric usage,1/12/2025,17:00,17:59,132.87,kWh,$0.00,
Electric usage,1/12/2025,18:00,18:59,125.31,kWh,$0.00,
Electric usage,1/12/2025,19:00,19:59,119.61,kWh,$0.00,
Electric usage,1/12/2025,20:00,20:59,120.35,kWh,$0.00,
Electric usage,1/12/2025,21:00,21:59,116.91,kWh,$0.00,
Electric usage,1/12/2025,22:00,22:59,123.26,kWh,$0.00,
Electric usage,1/12/2025,23:00,23:59,120.78,kWh,$0.00,
Electric usage,1/13/2025,0:00,0:59,121.07,kWh,$0.00,
Electric usage,1/13/2025,1:00,1:59,122.34,kWh,$0.00,
Electric usage,1/13/2025,2:00,2:59,118.34,kWh,$0.00,
Electric usage,1/13/2025,3:00,3:59,115.50,kWh,$0.00,
Electric usage,1/13/2025,4:00,4:59,115.07,kWh,$0.00,
Electric usage,1/13/2025,5:00,5:59,130.75,kWh,$0.00,
Electric usage,1/13/2025,6:00,6:59,271.56,kWh,$0.00,
Electric usage,1/13/2025,7:00,7:59,377.78,kWh,$0.00,
Electric usage,1/13/2025,8:00,8:59,381.52,kWh,$0.00,
Electric usage,1/13/2025,9:00,9:59,376.89,kWh,$0.00,
Electric usage,1/13/2025,10:00,10:59,378.56,kWh,$0.00,
Electric usage,1/13/2025,11:00,11:59,380.95,kWh,$0.00,
Electric usage,1/13/2025,12:00,12:59,383.02,kWh,$0.00,
Electric usage,1/13/2025,13:00,13:59,378.24,kWh,$0.00,
Electric usage,1/13/2025,14:00,14:59,382.99,kWh,$0.00,
Electric usage,1/13/2025,15:00,15:59,382.11,kWh,$0.00,
Electric usage,1/13/2025,16:00,16:59,379.03,kWh,$0.00,
Electric usage,1/13/2025,17:00,17:59,368.32,kWh,$0.00,
Electric usage,1/13/2025,18:00,18:59,228.45,kWh,$0.00,
Electric usage,1/13/2025,19:00,19:59,121.66,kWh,$0.00,
Electric usage,1/13/2025,20:00,20:59,121.83,kWh,$0.00,
Electric usage,1/13/2025,21:00,21:59,118.07,kWh,$0.00,
Electric usage,1/13/2025,22:00,22:59,119.45,kWh,$0.00,
Electric usage,1/13/2025,23:00,23:59,118.20,kWh,$0.00,
Electric usage,1/14/2025,0:00,0:59,119.32,kWh,$0.00,
Electric usage,1/14/2025,1:00,1:59,142.44,kWh,$0.00,
Electric usage,1/14/2025,2:00,2:59,118.95,kWh,$0.00,
Electric usage,1/14/2025,3:00,3:59,121.92,kWh,$0.00,
Electric usage,1/14/2025,4:00,4:59,117.46,kWh,$0.00,
Electric usage,1/14/2025,5:00,5:59,132.12,kWh,$0.00,
Electric usage,1/14/2025,6:00,6:59,269.28,kWh,$0.00,
Electric usage,1/14/2025,7:00,7:59,382.81,kWh,$0.00,
Electric usage,1/14/2025,8:00,8:59,379.85,kWh,$0.00,
Electric usage,1/14/2025,9:00,9:59,376.60,kWh,$0.00,
Electric usage,1/14/2025,10:00,10:59,373.35,kWh,$0.00,
Electric usage,1/14/2025,11:00,11:59,381.98,kWh,$0.00,
Electric usage,1/14/2025,12:00,12:59,382.55,kWh,$0.00,
Electric usage,1/14/2025,13:00,13:59,380.99,kWh,$0.00,
Electric usage,1/14/2025,14:00,14:59,376.64,kWh,$0.00,
Electric usage,1/14/2025,15:00,15:59,378.72,kWh,$0.00,
Electric usage,1/14/2025,16:00,16:59,383.35,kWh,$0.00,
Electric usage,1/14/2025,17:00,17:59,372.97,kWh,$0.00,
Electric usage,1/14/2025,18:00,18:59,228.85,kWh,$0.00,
Electric usage,1/14/2025,19:00,19:59,122.75,kWh,$0.00,
Electric usage,1/14/2025,20:00,20:59,118.06,kWh,$0.00,
Electric usage,1/14/2025,21:00,21:59,118.80,kWh,$0.00,
Electric usage,1/14/2025,22:00,22:59,121.83,kWh,$0.00,
Electric usage,1/14/2025,23:00,23:59,117.78,kWh,$0.00,
Electric usage,1/15/2025,0:00,0:59,120.36,kWh,$0.00,
Electric usage,1/15/2025,1:00,1:59,122.33,kWh,$0.00,
Electric usage,1/15/2025,2:00,2:59,120.42,kWh,$0.00,
Electric usage,1/15/2025,3:00,3:59,123.76,kWh,$0.00,
Electric usage,1/15/2025,4:00,4:59,119.50,kWh,$0.00,
Electric usage,1/15/2025,5:00,5:59,128.53,kWh,$0.00,
Electric usage,1/15/2025,6:00,6:59,274.20,kWh,$0.00,
Electric usage,1/15/2025,7:00,7:59,381.91,kWh,$0.00,
Electric usage,1/15/2025,8:00,8:59,381.80,kWh,$0.00,
Electric usage,1/15/2025,9:00,9:59,379.63,kWh,$0.00,
Electric usage,1/15/2025,10:00,10:59,379.07,kWh,$0.00,
Electric usage,1/15/2025,11:00,11:59,386.46,kWh,$0.00,
Electric usage,1/15/2025,12:00,12:59,379.49,kWh,$0.00,
Electric usage,1/15/2025,13:00,13:59,379.46,kWh,$0.00,
Electric usage,1/15/2025,14:00,14:59,385.50,kWh,$0.00,
Electric usage,1/15/2025,15:00,15:59,380.24,kWh,$0.00,
Electric usage,1/15/2025,16:00,16:59,376.88,kWh,$0.00,
Electric usage,1/15/2025,17:00,17:59,368.64,kWh,$0.00,
Electric usage,1/15/2025,18:00,18:59,228.61,kWh,$0.00,
Electric usage,1/15/2025,19:00,19:59,122.88,kWh,$0.00,
Electric usage,1/15/2025,20:00,20:59,121.89,kWh,$0.00,
Electric usage,1/15/2025,21:00,21:59,118.61,kWh,$0.00,
Electric usage,1/15/2025,22:00,22:59,119.06,kWh,$0.00,
Electric usage,1/15/2025,23:00,23:59,123.47,kWh,$0.00,
Electric usage,1/16/2025,0:00,0:59,119.90,kWh,$0.00,
Electric usage,1/16/2025,1:00,1:59,122.56,kWh,$0.00,
Electric usage,1/16/2025,2:00,2:59,121.34,kWh,$0.00,
Electric usage,1/16/2025,3:00,3:59,121.17,kWh,$0.00,
Electric usage,1/16/2025,4:00,4:59,116.96,kWh,$0.00,
Electric usage,1/16/2025,5:00,5:59,128.53,kWh,$0.00,
Electric usage,1/16/2025,6:00,6:59,270.55,kWh,$0.00,
Electric usage,1/16/2025,7:00,7:59,379.23,kWh,$0.00,
Electric usage,1/16/2025,8:00,8:59,380.48,kWh,$0.00,
Electric usage,1/16/2025,9:00,9:59,383.22,kWh,$0.00,
Electric usage,1/16/2025,10:00,10:59,383.44,kWh,$0.00,
Electric usage,1/16/2025,11:00,11:59,375.98,kWh,$0.00,
Electric usage,1/16/2025,12:00,12:59,377.24,kWh,$0.00,
Electric usage,1/16/2025,13:00,13:59,373.64,kWh,$0.00,
Electric usage,1/16/2025,14:00,14:59,382.32,kWh,$0.00,
Electric usage,1/16/2025,15:00,15:59,380.20,kWh,$0.00,
Electric usage,1/16/2025,16:00,16:59,379.01,kWh,$0.00,
Electric usage,1/16/2025,17:00,17:59,369.26,kWh,$0.00,
Electric usage,1/16/2025,18:00,18:59,228.50,kWh,$0.00,
Electric usage,1/16/2025,19:00,19:59,122.34,kWh,$0.00,
Electric usage,1/16/2025,20:00,20:59,115.16,kWh,$0.00,
Electric usage,1/16/2025,21:00,21:59,119.27,kWh,$0.00,
Electric usage,1/16/2025,22:00,22:59,122.44,kWh,$0.00,
Electric usage,1/16/2025,23:00,23:59,118.30,kWh,$0.00,
Electric usage,1/17/2025,0:00,0:59,119.61,kWh,$0.00,
Electric usage,1/17/2025,1:00,1:59,117.69,kWh,$0.00,
Electric usage,1/17/2025,2:00,2:59,122.39,kWh,$0.00,
Electric usage,1/17/2025,3:00,3:59,122.57,kWh,$0.00,
Electric usage,1/17/2025,4:00,4:59,120.73,kWh,$0.00,
Electric usage,1/17/2025,5:00,5:59,132.52,kWh,$0.00,
Electric usage,1/17/2025,6:00,6:59,268.69,kWh,$0.00,
Electric usage,1/17/2025,7:00,7:59,378.67,kWh,$0.00,
Electric usage,1/17/2025,8:00,8:59,377.86,kWh,$0.00,
Electric usage,1/17/2025,9:00,9:59,376.62,kWh,$0.00,
Electric usage,1/17/2025,10:00,10:59,382.48,kWh,$0.00,
Electric usage,1/17/2025,11:00,11:59,378.81,kWh,$0.00,
